,season,batter,batsman_runs
115,2007/08,SE Marsh,616
39,2007/08,G Gambhir,534
126,2007/08,ST Jayasuriya,514
124,2007/08,SR Watson,472
40,2007/08,GC Smith,441
10,2007/08,AC Gilchrist,436
149,2007/08,YK Pathan,435
116,2007/08,SK Raina,421
76,2007/08,MS Dhoni,414
139,2007/08,V Sehwag,406
229,2009,ML Hayden,572
166,2009,AC Gilchrist,495
165,2009,AB de Villiers,465
272,2009,SK Raina,434
288,2009,TM Dilshan,418
204,2009,JP Duminy,372
195,2009,HH Gibbs,371
177,2009,BJ Hodge,365
279,2009,SR Tendulkar,364
254,2009,RG Sharma,362
446,2009/10,SR Tendulkar,618
365,2009/10,JH Kallis,572
441,2009/10,SK Raina,528
437,2009/10,SC Ganguly,493
386,2009/10,M Vijay,458
348,2009/10,DPMD Jayawardene,445
308,2009/10,A Symonds,429
448,2009/10,SS Tiwary,419
420,2009/10,RG Sharma,404
402,2009/10,NV Ojha,377
502,2011,CH Gayle,608
636,2011,V Kohli,557
623,2011,SR Tendulkar,553
616,2011,SE Marsh,504
560,2011,MEK Hussey,492
581,2011,PC Valthaty,463
618,2011,SK Raina,438
557,2011,M Vijay,434
536,2011,JH Kallis,424
637,2011,V Sehwag,424
684,2012,CH Gayle,733
706,2012,G Gambhir,590
785,2012,S Dhawan,569
668,2012,AM Rahane,560
810,2012,V Sehwag,495
687,2012,CL White,479
770,2012,R Dravid,462
792,2012,SK Raina,441
775,2012,RG Sharma,433
753,2012,Mandeep Singh,432
910,2013,MEK Hussey,733
852,2013,CH Gayle,720
983,2013,V Kohli,639
964,2013,SK Raina,548
971,2013,SR Watson,543
950,2013,RG Sharma,538
888,2013,KD Karthik,510
836,2013,AM Rahane,488
941,2013,R Dravid,471
918,2013,MS Dhoni,461
1088,2014,RV Uthappa,660
1019,2014,DR Smith,566
1025,2014,GJ Maxwell,552
1014,2014,DA Warner,528
1097,2014,SK Raina,523
1111,2014,V Sehwag,455
1013,2014,DA Miller,446
1036,2014,JP Duminy,410
1062,2014,MK Pandey,409
1003,2014,BB McCullum,405
1148,2015,DA Warner,562
1130,2015,AM Rahane,540
1183,2015,LMP Simmons,540
1126,2015,AB de Villiers,513
1245,2015,V Kohli,505
1142,2015,CH Gayle,491
1217,2015,RG Sharma,482
1236,2015,SS Iyer,439
1139,2015,BB McCullum,436
1175,2015,KA Pollard,419
1383,2016,V Kohli,973
1278,2016,DA Warner,848
1256,2016,AB de Villiers,687
1288,2016,G Gambhir,501
1357,2016,S Dhawan,501
1354,2016,RG Sharma,489
1260,2016,AM Rahane,480
1321,2016,M Vijay,453
1347,2016,Q de Kock,445
1364,2016,SK Raina,399
1422,2017,DA Warner,641
1431,2017,G Gambhir,498
1495,2017,S Dhawan,479
1505,2017,SPD Smith,472
1500,2017,SK Raina,442
1434,2017,HM Amla,420
1465,2017,MK Pandey,396
1448,2017,KA Pollard,395
1480,2017,PA Patel,395
1487,2017,RA Tripathi,391
1594,2018,KS Williamson,735
1636,2018,RR Pant,684
1592,2018,KL Rahul,659
1542,2018,AT Rayudu,602
1649,2018,SR Watson,555
1581,2018,JC Buttler,548
1662,2018,V Kohli,530
1643,2018,SA Yadav,512
1589,2018,KD Karthik,498
1639,2018,S Dhawan,497
1694,2019,DA Warner,692
1729,2019,KL Rahul,593
1764,2019,Q de Kock,529
1778,2019,S Dhawan,521
1672,2019,AD Russell,514
1774,2019,RR Pant,494
1690,2019,CH Gayle,490
1794,2019,SS Iyer,467
1804,2019,V Kohli,464
1720,2019,JM Bairstow,445
1866,2020/21,KL Rahul,676
1912,2020/21,S Dhawan,618
1833,2020/21,DA Warner,548
1926,2020/21,SS Iyer,519
1848,2020/21,Ishan Kishan,516
1898,2020/21,Q de Kock,506
1916,2020/21,SA Yadav,480
1832,2020/21,D Padikkal,473
1939,2020/21,V Kohli,471
1814,2020/21,AB de Villiers,460
2051,2021,RD Gaikwad,635
1979,2021,F du Plessis,633
2007,2021,KL Rahul,626
2059,2021,S Dhawan,587
1983,2021,GJ Maxwell,513
2074,2021,SV Samson,484
2042,2021,PP Shaw,479
2080,2021,Shubman Gill,478
2020,2021,MA Agarwal,441
2054,2021,RR Pant,424
2144,2022,JC Buttler,863
2160,2022,KL Rahul,616
2207,2022,Q de Kock,508
2137,2022,HH Pandya,487
2249,2022,Shubman Gill,483
2123,2022,DA Miller,481
2132,2022,F du Plessis,468
2231,2022,S Dhawan,460
2244,2022,SV Samson,458
2126,2022,DJ Hooda,451
2423,2023,Shubman Gill,890
2313,2023,F du Plessis,730
2311,2023,DP Conway,672
2433,2023,V Kohli,639
2443,2023,YBK Jaiswal,625
2412,2023,SA Yadav,605
2401,2023,RD Gaikwad,590
2306,2023,DA Warner,516
2403,2023,RK Singh,474
2326,2023,Ishan Kishan,454
2606,2024,V Kohli,741
2559,2024,RD Gaikwad,583
2550,2024,R Parag,573
2601,2024,TM Head,567
2585,2024,SV Samson,531
2473,2024,B Sai Sudharsan,527
2507,2024,KL Rahul,520
2536,2024,N Pooran,499
2582,2024,SP Narine,488
2459,2024,Abhishek Sharma,484
